Population_Scenario,Year,WWTP_Scenario,P(RQ_SW_API1=0-1),P(RQ_SW_API2=0-1),P(RQ_SW_API3=0-1),P(RQ_SW_API4=0-1),P(RQ_SW_API1=1-10),P(RQ_SW_API2=1-10),P(RQ_SW_API3=1-10),P(RQ_SW_API4=1-10),P(RQ_SW_API1=10-100),P(RQ_SW_API2=10-100),P(RQ_SW_API3=10-100),P(RQ_SW_API4=10-100),P(RQ_SW_API1=100-1000),P(RQ_SW_API2=100-1000),P(RQ_SW_API3=100-1000),P(RQ_SW_API4=100-1000),P(RQ_SW_API1=1000-10000),P(RQ_SW_API2=1000-10000),P(RQ_SW_API3=1000-10000),P(RQ_SW_API4=1000-10000),P(RQ_SW_API1=10000-inf),P(RQ_SW_API2=10000-inf),P(RQ_SW_API3=10000-inf),P(RQ_SW_API4=10000-inf),RQ_Threshhold,P(Sum_RQ=0-1),P(Sum_RQ=1-10),P(Sum_RQ=10-100),P(Sum_RQ=100-1000),P(Sum_RQ=1000-10000),P(Sum_RQ=10000-100000),P(Sum_RQ=100000-inf),P(Threshold_Exceedence=true)
Low,2010,High,0.01915,0.02392,0.02093,0.15325,0.21069,0.18014,0.16697,0.1342,0.47831,0.44155,0.43687,0.35817,0.29185,0.35438,0.37523,0.35438,0,0,0,0,0,0,0,0,10,,,,,,,,
Low,2010,High,0.01915,0.02392,0.02093,0.15325,0.21069,0.18014,0.16697,0.1342,0.47831,0.44155,0.43687,0.35817,0.29185,0.35438,0.37523,0.35438,0,0,0,0,0,0,0,0,100,,,,,,,,
Low,2010,High,0.01915,0.02392,0.02093,0.15325,0.21069,0.18014,0.16697,0.1342,0.47831,0.44155,0.43687,0.35817,0.29185,0.35438,0.37523,0.35438,0,0,0,0,0,0,0,0,1000,,,,,,,,
Low,2010,High,0.01915,0.02392,0.02093,0.15325,0.21069,0.18014,0.16697,0.1342,0.47831,0.44155,0.43687,0.35817,0.29185,0.35438,0.37523,0.35438,0,0,0,0,0,0,0,0,10000,,,,,,,,
Low,2010,Low,0.01057,0.00299,0.00262,0.13508,0.11627,0.08793,0.0781,0.07356,0.46114,0.40878,0.38954,0.29106,0.41202,0.50031,0.52974,0.50031,0,0,0,0,0,0,0,0,10,,,,,,,,
Low,2010,Low,0.01057,0.00299,0.00262,0.13508,0.11627,0.08793,0.0781,0.07356,0.46114,0.40878,0.38954,0.29106,0.41202,0.50031,0.52974,0.50031,0,0,0,0,0,0,0,0,100,,,,,,,,
Low,2010,Low,0.01057,0.00299,0.00262,0.13508,0.11627,0.08793,0.0781,0.07356,0.46114,0.40878,0.38954,0.29106,0.41202,0.50031,0.52974,0.50031,0,0,0,0,0,0,0,0,1000,,,,,,,,
Low,2010,Low,0.01057,0.00299,0.00262,0.13508,0.11627,0.08793,0.0781,0.07356,0.46114,0.40878,0.38954,0.29106,0.41202,0.50031,0.52974,0.50031,0,0,0,0,0,0,0,0,10000,,,,,,,,
Low,2010,Medium,0.01302,0.00897,0.00785,0.14027,0.14325,0.11427,0.10349,0.09089,0.46605,0.41814,0.40307,0.31023,0.37768,0.45861,0.48559,0.45861,0,0,0,0,0,0,0,0,10,,,,,,,,
Low,2010,Medium,0.01302,0.00897,0.00785,0.14027,0.14325,0.11427,0.10349,0.09089,0.46605,0.41814,0.40307,0.31023,0.37768,0.45861,0.48559,0.45861,0,0,0,0,0,0,0,0,100,,,,,,,,
Low,2010,Medium,0.01302,0.00897,0.00785,0.14027,0.14325,0.11427,0.10349,0.09089,0.46605,0.41814,0.40307,0.31023,0.37768,0.45861,0.48559,0.45861,0,0,0,0,0,0,0,0,1000,,,,,,,,
Low,2010,Medium,0.01302,0.00897,0.00785,0.14027,0.14325,0.11427,0.10349,0.09089,0.46605,0.41814,0.40307,0.31023,0.37768,0.45861,0.48559,0.45861,0,0,0,0,0,0,0,0,10000,,,,,,,,
Low,2010,None,0.00934,0,0,0.13248,0.10278,0.07475,0.06541,0.0649,0.45869,0.4041,0.38278,0.28147,0.42918,0.52115,0.55181,0.52115,0,0,0,0,0,0,0,0,10,,,,,,,,
Low,2010,None,0.00934,0,0,0.13248,0.10278,0.07475,0.06541,0.0649,0.45869,0.4041,0.38278,0.28147,0.42918,0.52115,0.55181,0.52115,0,0,0,0,0,0,0,0,100,,,,,,,,
Low,2010,None,0.00934,0,0,0.13248,0.10278,0.07475,0.06541,0.0649,0.45869,0.4041,0.38278,0.28147,0.42918,0.52115,0.55181,0.52115,0,0,0,0,0,0,0,0,1000,,,,,,,,
Low,2010,None,0.00934,0,0,0.13248,0.10278,0.07475,0.06541,0.0649,0.45869,0.4041,0.38278,0.28147,0.42918,0.52115,0.55181,0.52115,0,0,0,0,0,0,0,0,10000,,,,,,,,
Low,2020,High,0.02024,0.02802,0.02451,0,0.22266,0.19345,0.18022,0.08755,0.48048,0.44264,0.43962,0.4185,0.27661,0.33589,0.35565,0.49395,0,0,0,0,0,0,0,0,10,,,,,,,,
Low,2020,High,0.02024,0.02802,0.02451,0,0.22266,0.19345,0.18022,0.08755,0.48048,0.44264,0.43962,0.4185,0.27661,0.33589,0.35565,0.49395,0,0,0,0,0,0,0,0,100,,,,,,,,
Low,2020,High,0.02024,0.02802,0.02451,0,0.22266,0.19345,0.18022,0.08755,0.48048,0.44264,0.43962,0.4185,0.27661,0.33589,0.35565,0.49395,0,0,0,0,0,0,0,0,1000,,,,,,,,
Low,2020,High,0.02024,0.02802,0.02451,0,0.22266,0.19345,0.18022,0.08755,0.48048,0.44264,0.43962,0.4185,0.27661,0.33589,0.35565,0.49395,0,0,0,0,0,0,0,0,10000,,,,,,,,
Low,2020,Low,0.01211,0.0035,0.00306,0,0.13317,0.10079,0.08956,0.01094,0.46421,0.42151,0.40529,0.29171,0.39051,0.47419,0.50209,0.69734,0,0,0,0,0,0,0,0,10,,,,,,,,
Low,2020,Low,0.01211,0.0035,0.00306,0,0.13317,0.10079,0.08956,0.01094,0.46421,0.42151,0.40529,0.29171,0.39051,0.47419,0.50209,0.69734,0,0,0,0,0,0,0,0,100,,,,,,,,
Low,2020,Low,0.01211,0.0035,0.00306,0,0.13317,0.10079,0.08956,0.01094,0.46421,0.42151,0.40529,0.29171,0.39051,0.47419,0.50209,0.69734,0,0,0,0,0,0,0,0,1000,,,,,,,,
Low,2020,Low,0.01211,0.0035,0.00306,0,0.13317,0.10079,0.08956,0.01094,0.46421,0.42151,0.40529,0.29171,0.39051,0.47419,0.50209,0.69734,0,0,0,0,0,0,0,0,10000,,,,,,,,
Low,2020,Medium,0.01443,0.01051,0.00919,0,0.15874,0.12727,0.11546,0.03283,0.46886,0.42755,0.4151,0.32794,0.35797,0.43468,0.46025,0.63923,0,0,0,0,0,0,0,0,10,,,,,,,,
Low,2020,Medium,0.01443,0.01051,0.00919,0,0.15874,0.12727,0.11546,0.03283,0.46886,0.42755,0.4151,0.32794,0.35797,0.43468,0.46025,0.63923,0,0,0,0,0,0,0,0,100,,,,,,,,
Low,2020,Medium,0.01443,0.01051,0.00919,0,0.15874,0.12727,0.11546,0.03283,0.46886,0.42755,0.4151,0.32794,0.35797,0.43468,0.46025,0.63923,0,0,0,0,0,0,0,0,1000,,,,,,,,
Low,2020,Medium,0.01443,0.01051,0.00919,0,0.15874,0.12727,0.11546,0.03283,0.46886,0.42755,0.4151,0.32794,0.35797,0.43468,0.46025,0.63923,0,0,0,0,0,0,0,0,10000,,,,,,,,
Low,2020,None,0.01094,0,0,0,0.12038,0.08755,0.07661,0,0.46189,0.4185,0.40038,0.2736,0.40678,0.49395,0.52301,0.7264,0,0,0,0,0,0,0,0,10,,,,,,,,
Low,2020,None,0.01094,0,0,0,0.12038,0.08755,0.07661,0,0.46189,0.4185,0.40038,0.2736,0.40678,0.49395,0.52301,0.7264,0,0,0,0,0,0,0,0,100,,,,,,,,
Low,2020,None,0.01094,0,0,0,0.12038,0.08755,0.07661,0,0.46189,0.4185,0.40038,0.2736,0.40678,0.49395,0.52301,0.7264,0,0,0,0,0,0,0,0,1000,,,,,,,,
Low,2020,None,0.01094,0,0,0,0.12038,0.08755,0.07661,0,0.46189,0.4185,0.40038,0.2736,0.40678,0.49395,0.52301,0.7264,0,0,0,0,0,0,0,0,10000,,,,,,,,
Low,2030,High,0.02024,0.22147,0.02451,0,0.22266,0.44264,0.18022,0.08755,0.48048,0.33589,0.43962,0.4185,0.27661,0,0.35565,0.49395,0,0,0,0,0,0,0,0,10,,,,,,,,
Low,2030,High,0.02024,0.22147,0.02451,0,0.22266,0.44264,0.18022,0.08755,0.48048,0.33589,0.43962,0.4185,0.27661,0,0.35565,0.49395,0,0,0,0,0,0,0,0,100,,,,,,,,
Low,2030,High,0.02024,0.22147,0.02451,0,0.22266,0.44264,0.18022,0.08755,0.48048,0.33589,0.43962,0.4185,0.27661,0,0.35565,0.49395,0,0,0,0,0,0,0,0,1000,,,,,,,,
Low,2030,High,0.02024,0.22147,0.02451,0,0.22266,0.44264,0.18022,0.08755,0.48048,0.33589,0.43962,0.4185,0.27661,0,0.35565,0.49395,0,0,0,0,0,0,0,0,10000,,,,,,,,
Low,2030,Low,0.01211,0.10429,0.00306,0,0.13317,0.42151,0.08956,0.01094,0.46421,0.47419,0.40529,0.29171,0.39051,0,0.50209,0.69734,0,0,0,0,0,0,0,0,10,,,,,,,,
Low,2030,Low,0.01211,0.10429,0.00306,0,0.13317,0.42151,0.08956,0.01094,0.46421,0.47419,0.40529,0.29171,0.39051,0,0.50209,0.69734,0,0,0,0,0,0,0,0,100,,,,,,,,
Low,2030,Low,0.01211,0.10429,0.00306,0,0.13317,0.42151,0.08956,0.01094,0.46421,0.47419,0.40529,0.29171,0.39051,0,0.50209,0.69734,0,0,0,0,0,0,0,0,1000,,,,,,,,
Low,2030,Low,0.01211,0.10429,0.00306,0,0.13317,0.42151,0.08956,0.01094,0.46421,0.47419,0.40529,0.29171,0.39051,0,0.50209,0.69734,0,0,0,0,0,0,0,0,10000,,,,,,,,
Low,2030,Medium,0.01443,0.13777,0.00919,0,0.15874,0.42755,0.11546,0.03283,0.46886,0.43468,0.4151,0.32794,0.35797,0,0.46025,0.63923,0,0,0,0,0,0,0,0,10,,,,,,,,
Low,2030,Medium,0.01443,0.13777,0.00919,0,0.15874,0.42755,0.11546,0.03283,0.46886,0.43468,0.4151,0.32794,0.35797,0,0.46025,0.63923,0,0,0,0,0,0,0,0,100,,,,,,,,
Low,2030,Medium,0.01443,0.13777,0.00919,0,0.15874,0.42755,0.11546,0.03283,0.46886,0.43468,0.4151,0.32794,0.35797,0,0.46025,0.63923,0,0,0,0,0,0,0,0,1000,,,,,,,,
Low,2030,Medium,0.01443,0.13777,0.00919,0,0.15874,0.42755,0.11546,0.03283,0.46886,0.43468,0.4151,0.32794,0.35797,0,0.46025,0.63923,0,0,0,0,0,0,0,0,10000,,,,,,,,
Low,2030,None,0.01094,0.08755,0,0,0.12038,0.4185,0.07661,0,0.46189,0.49395,0.40038,0.2736,0.40678,0,0.52301,0.7264,0,0,0,0,0,0,0,0,10,,,,,,,,
Low,2030,None,0.01094,0.08755,0,0,0.12038,0.4185,0.07661,0,0.46189,0.49395,0.40038,0.2736,0.40678,0,0.52301,0.7264,0,0,0,0,0,0,0,0,100,,,,,,,,
Low,2030,None,0.01094,0.08755,0,0,0.12038,0.4185,0.07661,0,0.46189,0.49395,0.40038,0.2736,0.40678,0,0.52301,0.7264,0,0,0,0,0,0,0,0,1000,,,,,,,,
Low,2030,None,0.01094,0.08755,0,0,0.12038,0.4185,0.07661,0,0.46189,0.49395,0.40038,0.2736,0.40678,0,0.52301,0.7264,0,0,0,0,0,0,0,0,10000,,,,,,,,
Low,2040,High,0.02024,0.97313,0.02451,0.0035,0.22266,0.02687,0.18022,0.10079,0.48048,0,0.43962,0.42151,0.27661,0,0.35565,0.47419,0,0,0,0,0,0,0,0,10,,,,,,,,
Low,2040,High,0.02024,0.97313,0.02451,0.0035,0.22266,0.02687,0.18022,0.10079,0.48048,0,0.43962,0.42151,0.27661,0,0.35565,0.47419,0,0,0,0,0,0,0,0,100,,,,,,,,
Low,2040,High,0.02024,0.97313,0.02451,0.0035,0.22266,0.02687,0.18022,0.10079,0.48048,0,0.43962,0.42151,0.27661,0,0.35565,0.47419,0,0,0,0,0,0,0,0,1000,,,,,,,,
Low,2040,High,0.02024,0.97313,0.02451,0.0035,0.22266,0.02687,0.18022,0.10079,0.48048,0,0.43962,0.42151,0.27661,0,0.35565,0.47419,0,0,0,0,0,0,0,0,10000,,,,,,,,
Low,2040,Low,0.01211,0.96206,0.00306,4.4e-4,0.13317,0.03794,0.08956,0.02217,0.46421,0,0.40529,0.30794,0.39051,0,0.50209,0.66945,0,0,0,0,0,0,0,0,10,,,,,,,,
Low,2040,Low,0.01211,0.96206,0.00306,4.4e-4,0.13317,0.03794,0.08956,0.02217,0.46421,0,0.40529,0.30794,0.39051,0,0.50209,0.66945,0,0,0,0,0,0,0,0,100,,,,,,,,
Low,2040,Low,0.01211,0.96206,0.00306,4.4e-4,0.13317,0.03794,0.08956,0.02217,0.46421,0,0.40529,0.30794,0.39051,0,0.50209,0.66945,0,0,0,0,0,0,0,0,1000,,,,,,,,
Low,2040,Low,0.01211,0.96206,0.00306,4.4e-4,0.13317,0.03794,0.08956,0.02217,0.46421,0,0.40529,0.30794,0.39051,0,0.50209,0.66945,0,0,0,0,0,0,0,0,10000,,,,,,,,
Low,2040,Medium,0.01443,0.96523,0.00919,0.00131,0.15874,0.03477,0.11546,0.04464,0.46886,0,0.4151,0.34039,0.35797,0,0.46025,0.61366,0,0,0,0,0,0,0,0,10,,,,,,,,
Low,2040,Medium,0.01443,0.96523,0.00919,0.00131,0.15874,0.03477,0.11546,0.04464,0.46886,0,0.4151,0.34039,0.35797,0,0.46025,0.61366,0,0,0,0,0,0,0,0,100,,,,,,,,
Low,2040,Medium,0.01443,0.96523,0.00919,0.00131,0.15874,0.03477,0.11546,0.04464,0.46886,0,0.4151,0.34039,0.35797,0,0.46025,0.61366,0,0,0,0,0,0,0,0,1000,,,,,,,,
Low,2040,Medium,0.01443,0.96523,0.00919,0.00131,0.15874,0.03477,0.11546,0.04464,0.46886,0,0.4151,0.34039,0.35797,0,0.46025,0.61366,0,0,0,0,0,0,0,0,10000,,,,,,,,
Low,2040,None,0.01094,0.96048,0,0,0.12038,0.03952,0.07661,0.01094,0.46189,0,0.40038,0.29171,0.40678,0,0.52301,0.69734,0,0,0,0,0,0,0,0,10,,,,,,,,
Low,2040,None,0.01094,0.96048,0,0,0.12038,0.03952,0.07661,0.01094,0.46189,0,0.40038,0.29171,0.40678,0,0.52301,0.69734,0,0,0,0,0,0,0,0,100,,,,,,,,
Low,2040,None,0.01094,0.96048,0,0,0.12038,0.03952,0.07661,0.01094,0.46189,0,0.40038,0.29171,0.40678,0,0.52301,0.69734,0,0,0,0,0,0,0,0,1000,,,,,,,,
Low,2040,None,0.01094,0.96048,0,0,0.12038,0.03952,0.07661,0.01094,0.46189,0,0.40038,0.29171,0.40678,0,0.52301,0.69734,0,0,0,0,0,0,0,0,10000,,,,,,,,
Low,2050,High,0.00618,1,0.02451,0.11625,0.06798,0,0.18022,0.14775,0.2698,0,0.43962,0.38035,0.42368,0,0.35565,0.35565,0.23236,0,0,0,0,0,0,0,10,,,,,,,,
Low,2050,High,0.00618,1,0.02451,0.11625,0.06798,0,0.18022,0.14775,0.2698,0,0.43962,0.38035,0.42368,0,0.35565,0.35565,0.23236,0,0,0,0,0,0,0,100,,,,,,,,
Low,2050,High,0.00618,1,0.02451,0.11625,0.06798,0,0.18022,0.14775,0.2698,0,0.43962,0.38035,0.42368,0,0.35565,0.35565,0.23236,0,0,0,0,0,0,0,1000,,,,,,,,
Low,2050,High,0.00618,1,0.02451,0.11625,0.06798,0,0.18022,0.14775,0.2698,0,0.43962,0.38035,0.42368,0,0.35565,0.35565,0.23236,0,0,0,0,0,0,0,10000,,,,,,,,
Low,2050,Low,0.0023,1,0.00306,0.09668,0.02535,0,0.08956,0.07962,0.18687,0,0.40529,0.32161,0.45744,0,0.50209,0.50209,0.32803,0,0,0,0,0,0,0,10,,,,,,,,
Low,2050,Low,0.0023,1,0.00306,0.09668,0.02535,0,0.08956,0.07962,0.18687,0,0.40529,0.32161,0.45744,0,0.50209,0.50209,0.32803,0,0,0,0,0,0,0,100,,,,,,,,
Low,2050,Low,0.0023,1,0.00306,0.09668,0.02535,0,0.08956,0.07962,0.18687,0,0.40529,0.32161,0.45744,0,0.50209,0.50209,0.32803,0,0,0,0,0,0,0,1000,,,,,,,,
Low,2050,Low,0.0023,1,0.00306,0.09668,0.02535,0,0.08956,0.07962,0.18687,0,0.40529,0.32161,0.45744,0,0.50209,0.50209,0.32803,0,0,0,0,0,0,0,10000,,,,,,,,
Low,2050,Medium,0.00341,1,0.00919,0.10227,0.03753,0,0.11546,0.09909,0.21056,0,0.4151,0.33839,0.4478,0,0.46025,0.46025,0.30069,0,0,0,0,0,0,0,10,,,,,,,,
Low,2050,Medium,0.00341,1,0.00919,0.10227,0.03753,0,0.11546,0.09909,0.21056,0,0.4151,0.33839,0.4478,0,0.46025,0.46025,0.30069,0,0,0,0,0,0,0,100,,,,,,,,
Low,2050,Medium,0.00341,1,0.00919,0.10227,0.03753,0,0.11546,0.09909,0.21056,0,0.4151,0.33839,0.4478,0,0.46025,0.46025,0.30069,0,0,0,0,0,0,0,1000,,,,,,,,
Low,2050,Medium,0.00341,1,0.00919,0.10227,0.03753,0,0.11546,0.09909,0.21056,0,0.4151,0.33839,0.4478,0,0.46025,0.46025,0.30069,0,0,0,0,0,0,0,10000,,,,,,,,
Low,2050,None,0.00175,1,0,0.09389,0.01926,0,0.07661,0.06989,0.17502,0,0.40038,0.31322,0.46226,0,0.52301,0.52301,0.3417,0,0,0,0,0,0,0,10,,,,,,,,
Low,2050,None,0.00175,1,0,0.09389,0.01926,0,0.07661,0.06989,0.17502,0,0.40038,0.31322,0.46226,0,0.52301,0.52301,0.3417,0,0,0,0,0,0,0,100,,,,,,,,
